filename,type,status,best_value,time,time_limit,seed,max_iterations,num_iterations,best_solution,bound
01.txt,grasp_optimized,time_limit,1034413,5.0,5.0,6,100000,841,,0
02.txt,grasp_optimized,time_limit,11976398,5.0,5.0,6,100000,979,,0
03.txt,grasp_optimized,time_limit,45898177,5.0,5.0,6,100000,447,,0
04.txt,grasp_optimized,time_limit,34169225,5.01,5.0,6,100000,455,,0
05.txt,grasp_optimized,time_limit,8196666,5.07,5.0,6,100000,31,,0
06.txt,grasp_optimized,time_limit,29724723,5.16,5.0,6,100000,22,,0
07.txt,grasp_optimized,time_limit,206796746,5.01,5.0,6,100000,956,,0
08.txt,grasp_optimized,time_limit,42627558,5.0,5.0,6,100000,973,,0
09.txt,grasp_optimized,time_limit,8443590,5.03,5.0,6,100000,96,,0
10.txt,grasp_optimized,time_limit,48326460,5.02,5.0,6,100000,85,,0
